2015-09-12 00:45:15 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (4fdf57e3-c074-4ef5-8570-3393fb5a8240)] -> id: to_filter]
2015-09-12 00:45:15 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:45:15 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (4fdf57e3-c074-4ef5-8570-3393fb5a8240)] -> id: search-form__submit-btn]
2015-09-12 00:46:11 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@7555b920 
2015-09-12 00:46:11 INFO  Page:55 - clicking on element null
2015-09-12 00:46:30 INFO  SearchPage:36 - Opening login page
2015-09-12 00:46:34 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 00:46:34 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (137608f4-b755-4aa2-afaa-2b176d1139f3)] -> id: from_filter]
2015-09-12 00:46:34 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:46:35 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (137608f4-b755-4aa2-afaa-2b176d1139f3)] -> id: to_filter]
2015-09-12 00:46:35 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:46:36 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (137608f4-b755-4aa2-afaa-2b176d1139f3)] -> id: search-form__submit-btn]
2015-09-12 00:47:31 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@302c971f 
2015-09-12 00:47:31 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (137608f4-b755-4aa2-afaa-2b176d1139f3)] -> id: sortby-price]
2015-09-12 00:48:24 INFO  SearchPage:36 - Opening login page
2015-09-12 00:48:28 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 00:48:28 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (54e1f1c1-534c-48f9-9bf0-39592e1d7a26)] -> id: from_filter]
2015-09-12 00:48:28 INFO  SearchPage:55 - entering from: Madrid, Spain 
